"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"razrez2";"1996";"II-16";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-17";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-18";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-19";30;;;;;;;;;;;;;;;
"razrez2";"1996";"II-2";60;;;;;;;;;;;;;;;
"razrez2";"1996";"II-20";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-3";30;;;;;;;;;;;;;;;
"razrez2";"1996";"II-4";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-5";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-7";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-8";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-9";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-10";90;;;;;;;;;;;;;;;
"razrez2";"1997";"II-11";30;;;;;;;;;;;;;;;
"razrez2";"1997";"II-12";30;;;;;;;;;;;;;;;
"razrez2";"1997";"II-13";30;;;;;;;;;;;;;;;
"razrez2";"1997";"II-14";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-15";120;;;;;;;;;;;;;;;
"razrez2";"1997";"II-16";30;;;;;;;;;;;;;;;
"razrez2";"1997";"II-17";60;;;;;;;;;;;;;;;
"razrez2";"1997";"II-18";120;;;;;;;;;;;;;;;
"razrez2";"1997";"II-19";120;;;;;;;;;;;;;;;
"razrez2";"1997";"II-2";90;;;;;;;;;;;;;;;
"razrez2";"1997";"II-20";30;;;;;;;;;;;;;;;
"razrez2";"1997";"II-3";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-4";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-5";180;;;;;;;;;;;;;;;
"razrez2";"1997";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1997";"II-7";60;;;;;;;;;;;;;;;
"razrez2";"1997";"II-8";150;;;;;;;;;;;;;;;
"razrez2";"1997";"II-9";30;;;;;;;;;;;;;;;
"razrez2";"1998";"II-1";510;;;;;;;;;;;;;;;
"razrez2";"1998";"II-10";1470;;;;;;;;;;;;;;;
"razrez2";"1998";"II-11";540;;;;;;;;;;;;;;;
"razrez2";"1998";"II-12";1380;;;;;;;;;;;;;;;
"razrez2";"1998";"II-13";150;;;;;;;;;;;;;;;
"razrez2";"1998";"II-14";750;;;;;;;;;;;;;;;
