month;date;year;m0;m5;m10;m15;m25;m50;m65
6;19;1990;8;7,6;7;6,7;3,3;0,7;0,6
6;30;1990;10;8,5;8;6,8;5,4;2,1;1,9
7;11;1990;13,7;10,5;9,5;7;5;1,3;1,2
7;20;1990;15,1;14,9;12,5;12;5;1,2;1,1
7;31;1990;14;14;14;13,3;5;1,7;1,4
8;10;1990;14,6;14;12;7,5;4;2,3;2
8;20;1990;13,6;13,3;11,3;9,5;6,3;2,7;2,7
8;30;1990;13,1;13,1;13,1;12,5;6;3;2,4
9;9;1990;11,4;11,9;11,9;11,5;4,2;1,9;1,7
9;20;1990;10,4;10,9;10,9;10,5;5;2;1,7
10;1;1990;7,9;7,9;7,9;7,9;8,5;1,4;1
10;10;1990;6,4;6,5;6,9;6,9;6,4;2,3;2,2
10;20;1990;5,9;5,9;6;6,3;6;2,6;2,4
10;29;1990;4,2;4,2;4,2;4,3;2;0,4;0,3
11;14;1990;1,5;1,5;1,5;1,5;1,5;2,2;1,8
1;15;1991;-1,4;-1,3;-1,2;-1,1;-0,7;0;0,2
2;15;1991;-1,4;-1,3;-1,2;-1;-0,7;-0,4;-0,3
2;28;1991;-1,4;-1,4;-1,3;-1,1;-0,8;-0,5;-0,4
3;14;1991;-1,5;-1,5;-1,4;-1,3;-1;-0,6;-0,5
4;10;1991;-0,8;-1,2;-1,1;-1;-0,7;-0,6;-0,6
5;18;1991;0,8;0,2;0;-0,4;-0,6;-0,7;-0,8
5;30;1991;5,1;4,7;1,1;0,7;-0,2;-0,6;-0,7
6;10;1991;8;7,8;5,5;2,5;0;-0,6;-0,7
6;20;1991;9,8;8;7;4,9;1,7;-0,3;-0,4
7;1;1991;10,8;10,5;9,6;6;1;-0,5;-0,6
7;9;1991;13,5;13,5;10,5;6,5;0,9;-0,4;-0,5
7;20;1991;14,4;13,5;10;7,9;3,3;0;-0,2
7;31;1991;14,8;14,6;13,8;12,5;3,5;0;-0,1
8;11;1991;14,2;14;12,5;7;5;0;-0,1
8;21;1991;14,2;14,2;14,2;14,2;10,7;0,8;0,8
8;31;1991;13,1;13,5;13,7;9,5;3,3;0,6;0,5
9;10;1991;8,9;8,9;8;6;1,9;0,1;0
9;19;1991;4,3;4,1;4,1;3,8;2;0,1;0
9;30;1991;3,2;3;3;3;2,3;0,7;0,5
10;9;1991;3,6;3,5;3,5;3,6;3,5;1,7;1,7
10;20;1991;4,2;4,2;4,3;4,2;4;2;1,9
10;30;1991;2,8;2,8;2,8;2,8;3,1;1,9;1,9
11;16;1991;2,6;2,6;3;3,4;3,4;2,2;2,2
12;22;1991;0,8;1;1,3;1,5;2;1,6;1,6
2;21;1992;-1;-1,1;-1;-0,9;-0,5;0;0
4;1;1992;7;5,5;5;4,5;2;-0,5;-1,1
6;10;1992;7,2;5,8;5,2;4,7;2;-0,5;-1
6;20;1992;9,2;8,1;6;3;2;-0,5;-1
7;1;1992;9,6;9,6;9,4;7,3;5;-0,5;-0,7
7;9;1992;9,6;9;7,7;6;3;-0,6;-1
7;19;1992;12,4;11;9;7;3;-0,3;-0,5
7;30;1992;12,6;11,4;10,2;8;2,6;-0,1;-0,2
8;11;1992;12,2;12,2;11,6;10,5;4;0,5;0,2
8;22;1992;9;9;9;6,5;3,3;0,7;0,6
8;31;1992;8,5;8,7;8,3;7;4,3;1,8;1,7
9;10;1992;8,4;8,7;8,7;8,7;8,3;3,7;3,4
9;21;1992;9,6;9,6;8,6;8,3;8,3;4,7;4,4
10;1;1992;8,4;8,5;8,7;8,8;7,8;4;3,9
10;11;1992;6,2;6,3;6,6;6,1;3,7;1,8;1,5
10;22;1992;2,6;2,9;5;6,6;6,2;3,1;2,9
