year;sample;Length.mm
1999;mbb1;1,3
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1
1999;mbb1;1,5
1999;mbb1;0,8
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;1,5
1999;mbb1;1,8
1999;mbb1;1,2
1999;mbb1;1
1999;mbb1;1,5
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,5
1999;mbb1;1,5
1999;mbb1;1,4
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;1,4
1999;mbb1;0,9
1999;mbb1;1,5
1999;mbb1;0,9
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,7
1999;mbb1;1,4
1999;mbb1;2,2
1999;mbb1;1,2
1999;mbb1;0,8
1999;mbb1;0,8
1999;mbb1;1,5
1999;mbb1;1,5
1999;mbb1;1,8
1999;mbb1;0,9
1999;mbb1;1,1
1999;mbb1;1,7
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1,7
1999;mbb1;1,3
1999;mbb1;1,5
1999;mbb1;0,9
1999;mbb1;1,3
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;0,8
1999;mbb1;1,3
1999;mbb1;1,7
1999;mbb1;0,9
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;1,4
1999;mbb1;1,3
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;8,6
1999;mbb1;10
1999;mbb1;5,3
1999;mbb1;14,8
1999;mbb1;13,9
1999;mbb1;10
1999;mbb1;11,6
1999;mbb1;8,6
1999;mbb1;4,2
1999;mbb1;5,5
1999;mbb1;3,6
1999;mbb1;6,6
1999;mbb1;13
1999;mbb1;12,4
1999;mbb1;11,7
1999;mbb1;11,6
1999;mbb1;16,2
1999;mbb1;18
