area;tidal;year;N.1year;N.8mm;N.old;Nall.1mm;January;Febryary;Marts;April;May;June;July;August;September;October;November;December
Goreliy;low;2003;550;410;1970;2710;-17,7;-6,6;-3,1;0,4;6,8;9,1;17,1;13,3;7,7;1,8;-2,3;-9,2
Goreliy;low;2004;30;500;990;1040;-10,8;-12,4;-5,7;-1,2;4,8;10,3;16,9;12,8;7,8;1,3;-6,4;-6,8
Goreliy;low;2005;0;740;1350;1350;-7,2;-10,0;-9,2;0,1;5,2;12,6;15,9;14,6;8,4;3,7;0,6;-8,1
Goreliy;low;2006;40;370;600;650;-10,2;-13,5;-9,7;0,9;6,1;14,1;13,6;13,1;7,5;0,2;-5,4;-5,1
Goreliy;low;2007;60;300;470;540;-10,8;-18,4;-1,3;0,5;5,8;11,2;14,5;14,2;7,3;4,7;-3,9;-2,4
Goreliy;low;2008;160;240;800;1030;-9,4;-7,8;-7,0;-1,1;3,9;11,4;13,9;10,7;6,2;2,9;-3,4;-3,2
Goreliy;low;2009;70;250;590;790;-10,3;-11,4;-6,9;-1,5;6,8;10,9;13,9;13,6;9,5;-0,7;-1,5;-9,3
Goreliy;low;2010;40;360;1290;1330;-15,6;-14,3;-8,7;1,3;7,6;10,7;16,3;12,0;8,2;3,2;-7,0;-12,8
Goreliy;low;2011;340;470;1120;1590;-12,9;-17,2;-5,1;2,1;6,3;14,0;16,3;12,0;9,1;4,0;-1,8;-2,5
Goreliy;low;2012;50;180;710;760;-11,4;-14,9;-5,0;-1,0;6,4;11,2;14,0;11,7;8,1;1,3;-2,5;-14,5
Goreliy;zero;1992;0;6,6666666667;13,3333333333;13,3333333333;-10;-6,2;-2,3;-5;6,9;11,8;12;10,3;9,2;-5,7;-8,3;-4
Goreliy;zero;1993;0;60;96,6666666667;96,6666666667;-8,6;-8,8;-6,1;-2,6;5,3;9,4;14,6;12,1;3,4;-1,6;-6,4;-10,4
Goreliy;zero;1994;0;220;380;390;-13;-12,8;-6,2;1,2;3,2;11,5;14,2;12,2;6,1;0,6;-6,3;-5,4
Goreliy;zero;1995;260;580;830;1100;-7,8;-7,9;-3,0;-0,3;4,5;12,5;12,7;11,4;6,5;1,2;-9,2;-14,7
Goreliy;zero;1996;30;30;390;420;-9,0;-12,4;-6,4;-1,9;2,7;9,2;12,4;13,5;5,7;2,3;-2,5;-9,4
Goreliy;zero;1997;50;80;290;380;-13,4;-11,3;-5,3;-3,6;3,5;11,8;14,6;13,6;8,3;0,0;-5,8;-9,2
Goreliy;zero;1998;310;680;780;1120;-12,0;-21,3;-9,7;-4,0;3,8;9,8;16,3;11,1;7,0;1,2;-8,1;-10,7
Goreliy;zero;1999;1220;1420;1750;3580;-16,5;-13,3;-7,0;0,0;1,5;13,3;14,7;10,7;8,3;3,4;-4,2;-10,3
Goreliy;zero;2000;0;540;720;720;-10,8;-10,0;-4,4;0,5;5,4;12,2;16,0;12,8;7,4;5,2;-1,7;-8,0
Goreliy;zero;2001;40;600;800;840;-5,2;-12,7;-11,1;-0,3;4,6;13,2;15,6;11,7;7,2;0,8;-7,3;-11,5
Goreliy;zero;2002;20;760;900;930;-12,7;-10,0;-6,7;-0,1;5,4;12,4;15,6;11,7;6,2;-0,7;-10,9;-12,0
Goreliy;zero;2003;50;760;1450;1540;-17,7;-6,6;-3,1;0,4;6,8;9,1;17,1;13,3;7,7;1,8;-2,3;-9,2
Goreliy;zero;2004;70;490;1430;1540;-10,8;-12,4;-5,7;-1,2;4,8;10,3;16,9;12,8;7,8;1,3;-6,4;-6,8
Goreliy;zero;2005;10;240;820;830;-7,2;-10,0;-9,2;0,1;5,2;12,6;15,9;14,6;8,4;3,7;0,6;-8,1
Goreliy;zero;2006;0;240;760;760;-10,2;-13,5;-9,7;0,9;6,1;14,1;13,6;13,1;7,5;0,2;-5,4;-5,1
Goreliy;zero;2007;20;140;630;660;-10,8;-18,4;-1,3;0,5;5,8;11,2;14,5;14,2;7,3;4,7;-3,9;-2,4
Goreliy;zero;2008;90;340;640;740;-9,4;-7,8;-7,0;-1,1;3,9;11,4;13,9;10,7;6,2;2,9;-3,4;-3,2
Goreliy;zero;2009;30;150;430;470;-10,3;-11,4;-6,9;-1,5;6,8;10,9;13,9;13,6;9,5;-0,7;-1,5;-9,3
Goreliy;zero;2010;90;830;1050;1140;-15,6;-14,3;-8,7;1,3;7,6;10,7;16,3;12,0;8,2;3,2;-7,0;-12,8
Goreliy;zero;2011;200;520;820;1100;-12,9;-17,2;-5,1;2,1;6,3;14,0;16,3;12,0;9,1;4,0;-1,8;-2,5
Goreliy;zero;2012;20;430;820;840;-11,4;-14,9;-5,0;-1,0;6,4;11,2;14,0;11,7;8,1;1,3;-2,5;-14,5
razrez2;high;1992;0;58,5540043769;110;94,2857142857;-10;-6,2;-2,3;-5;6,9;11,8;12;10,3;9,2;-5,7;-8,3;-4
razrez2;high;1993;0;24,4948974278;412,5;412,5;-8,6;-8,8;-6,1;-2,6;5,3;9,4;14,6;12,1;3,4;-1,6;-6,4;-10,4
razrez2;high;1994;13,416407865;67,082039325;562,5;462;-13;-12,8;-6,2;1,2;3,2;11,5;14,2;12,2;6,1;0,6;-6,3;-5,4
razrez2;high;1995;51,9615242271;186,5475810618;862,5;907,5;-7,8;-7,9;-3,0;-0,3;4,5;12,5;12,7;11,4;6,5;1,2;-9,2;-14,7
razrez2;high;1996;15;189,7366596101;690;697,5;-9,0;-12,4;-6,4;-1,9;2,7;9,2;12,4;13,5;5,7;2,3;-2,5;-9,4
razrez2;high;1997;0;261,5339366124;580;620;-13,4;-11,3;-5,3;-3,6;3,5;11,8;14,6;13,6;8,3;0,0;-5,8;-9,2
razrez2;high;1998;871,0338684575;114,8912529308;1320;2130;-12,0;-21,3;-9,7;-4,0;3,8;9,8;16,3;11,1;7,0;1,2;-8,1;-10,7
razrez2;high;1999;5466,2875884827;17,3205080757;1560;7240;-16,5;-13,3;-7,0;0,0;1,5;13,3;14,7;10,7;8,3;3,4;-4,2;-10,3
