"oneyear.int";"year";"sample";"Freq"
"1142";"(1.2,1.8]";"2004";"me2";99
"1146";"(1.2,1.8]";"2005";"me2";20
"1150";"(1.2,1.8]";"2006";"me2";5
"1154";"(1.2,1.8]";"2007";"me2";NA
"1158";"(1.2,1.8]";"2008";"me2";24
"1162";"(1.2,1.8]";"2009";"me2";39
"1166";"(1.2,1.8]";"2010";"me2";23
"1170";"(1.2,1.8]";"2011";"me2";NA
"1174";"(1.2,1.8]";"2012";"me2";7
"1178";"(1.2,1.8]";"1992";"me21";NA
"1182";"(1.2,1.8]";"1993";"me21";NA
"1186";"(1.2,1.8]";"1994";"me21";NA
"1190";"(1.2,1.8]";"1995";"me21";NA
"1194";"(1.2,1.8]";"1996";"me21";NA
"1198";"(1.2,1.8]";"1997";"me21";NA
"1202";"(1.2,1.8]";"1998";"me21";NA
"1206";"(1.2,1.8]";"1999";"me21";NA
"1210";"(1.2,1.8]";"2000";"me21";NA
"1214";"(1.2,1.8]";"2001";"me21";NA
"1218";"(1.2,1.8]";"2002";"me21";NA
"1222";"(1.2,1.8]";"2003";"me21";NA
"1226";"(1.2,1.8]";"2004";"me21";NA
"1230";"(1.2,1.8]";"2005";"me21";NA
"1234";"(1.2,1.8]";"2006";"me21";NA
"1238";"(1.2,1.8]";"2007";"me21";NA
"1242";"(1.2,1.8]";"2008";"me21";NA
"1246";"(1.2,1.8]";"2009";"me21";NA
"1250";"(1.2,1.8]";"2010";"me21";NA
"1254";"(1.2,1.8]";"2011";"me21";4
"1258";"(1.2,1.8]";"2012";"me21";NA
"1262";"(1.2,1.8]";"1992";"me22";NA
"1266";"(1.2,1.8]";"1993";"me22";NA
"1270";"(1.2,1.8]";"1994";"me22";NA
"1274";"(1.2,1.8]";"1995";"me22";NA
"1278";"(1.2,1.8]";"1996";"me22";NA
"1282";"(1.2,1.8]";"1997";"me22";NA
"1286";"(1.2,1.8]";"1998";"me22";NA
"1290";"(1.2,1.8]";"1999";"me22";NA
"1294";"(1.2,1.8]";"2000";"me22";NA
"1298";"(1.2,1.8]";"2001";"me22";NA
"1302";"(1.2,1.8]";"2002";"me22";NA
"1306";"(1.2,1.8]";"2003";"me22";NA
"1310";"(1.2,1.8]";"2004";"me22";NA
"1314";"(1.2,1.8]";"2005";"me22";NA
"1318";"(1.2,1.8]";"2006";"me22";NA
"1322";"(1.2,1.8]";"2007";"me22";NA
"1326";"(1.2,1.8]";"2008";"me22";NA
"1330";"(1.2,1.8]";"2009";"me22";NA
"1334";"(1.2,1.8]";"2010";"me22";NA
"1338";"(1.2,1.8]";"2011";"me22";5
"1342";"(1.2,1.8]";"2012";"me22";NA
"1346";"(1.2,1.8]";"1992";"me23";NA
"1350";"(1.2,1.8]";"1993";"me23";NA
"1354";"(1.2,1.8]";"1994";"me23";NA
"1358";"(1.2,1.8]";"1995";"me23";NA
"1362";"(1.2,1.8]";"1996";"me23";NA
"1366";"(1.2,1.8]";"1997";"me23";NA
"1370";"(1.2,1.8]";"1998";"me23";NA
"1374";"(1.2,1.8]";"1999";"me23";NA
"1378";"(1.2,1.8]";"2000";"me23";NA
"1382";"(1.2,1.8]";"2001";"me23";NA
"1386";"(1.2,1.8]";"2002";"me23";NA
"1390";"(1.2,1.8]";"2003";"me23";NA
"1394";"(1.2,1.8]";"2004";"me23";NA
"1398";"(1.2,1.8]";"2005";"me23";NA
"1402";"(1.2,1.8]";"2006";"me23";NA
"1406";"(1.2,1.8]";"2007";"me23";NA
"1410";"(1.2,1.8]";"2008";"me23";NA
