day;month;year;area;Nst;sample;N.sample;B.sample
30;7;2006;Seldyanaya;1;n3;127,725;5,77
4;8;2007;Seldyanaya;1;n3;49,125;0,91
5;8;2008;Seldyanaya;1;n3;42,575;4,35
6;8;2009;Seldyanaya;1;n3;54,875;4,88
28;7;2010;Seldyanaya;1;n3;58,15;2,42
6;8;2011;Seldyanaya;1;n3;100,725;6,17
30;7;2012;Seldyanaya;1;n3;156,8;6,75
29;7;2013;Seldyanaya;1;n3;19,25;0,33
12;7;1987;Seldyanaya;2;n3;3;0,30
28;7;1988;Seldyanaya;2;n3;0;0,00
17;7;1989;Seldyanaya;2;n3;6;1,80
19;7;1990;Seldyanaya;2;n3;7;2,00
22;7;1991;Seldyanaya;2;n3;5;1,33
26;7;1992;Seldyanaya;2;n3;8;0,03
27;7;1993;Seldyanaya;2;n3;3;1,05
9;8;1994;Seldyanaya;2;n3;0;0,00
4;8;1995;Seldyanaya;2;n3;0;0,00
30;7;1996;Seldyanaya;2;n3;44,3;1,24
21;7;1997;Seldyanaya;2;n3;19,7;1,46
27;7;1998;Seldyanaya;2;n3;63,5;0,04
15;8;1999;Seldyanaya;2;n3;NA;NA
6;8;2000;Seldyanaya;2;n3;9,825;1,74
6;8;2001;Seldyanaya;2;n3;26,2;6,16
4;8;2002;Seldyanaya;2;n3;58,55;1,39
5;8;2003;Seldyanaya;2;n3;31,95;0,20
7;8;2004;Seldyanaya;2;n3;32,75;5,31
23;7;2005;Seldyanaya;2;n3;91,7;8,91
30;7;2006;Seldyanaya;2;n3;163,75;7,71
4;8;2007;Seldyanaya;2;n3;278,375;5,08
5;8;2008;Seldyanaya;2;n3;52,4;2,61
6;8;2009;Seldyanaya;2;n3;0;0
28;7;2010;Seldyanaya;2;n3;36,025;5,01
6;8;2011;Seldyanaya;2;n3;22,925;2,74
30;7;2012;Seldyanaya;2;n3;0;0
29;7;2013;Seldyanaya;2;n3;25,4;0,03
18;7;1987;Seldyanaya;3;n3;5;0,29
1;8;1988;Seldyanaya;3;n3;1;0,01
14;7;1989;Seldyanaya;3;n3;1;0,82
20;7;1990;Seldyanaya;3;n3;11;2,25
25;7;1991;Seldyanaya;3;n3;13;0,82
28;7;1992;Seldyanaya;3;n3;8;1,37
30;7;1993;Seldyanaya;3;n3;8;1,20
9;8;1994;Seldyanaya;3;n3;0;0,00
4;8;1995;Seldyanaya;3;n3;0;0,00
25;7;1996;Seldyanaya;3;n3;7;1,80
22;7;1997;Seldyanaya;3;n3;17,55;0,76
31;7;1998;Seldyanaya;3;n3;52,8;0,39
15;8;1999;Seldyanaya;3;n3;NA;NA
6;8;2000;Seldyanaya;3;n3;6,55;0,73
6;8;2001;Seldyanaya;3;n3;32,35;5,87
4;8;2002;Seldyanaya;3;n3;13,1;2,04
5;8;2003;Seldyanaya;3;n3;22,925;6,65
7;8;2004;Seldyanaya;3;n3;131,475;3,82
23;7;2005;Seldyanaya;3;n3;39,3;4,72
30;7;2006;Seldyanaya;3;n3;13,1;3,11
4;8;2007;Seldyanaya;3;n3;42,175;5,11
5;8;2008;Seldyanaya;3;n3;19,65;4,10
6;8;2009;Seldyanaya;3;n3;3,275;1,50
28;7;2010;Seldyanaya;3;n3;12,7;0,01
6;8;2011;Seldyanaya;3;n3;13,1;4,02
30;7;2012;Seldyanaya;3;n3;6,55;2,69
29;7;2013;Seldyanaya;3;n3;3,275;1,39
20;7;1987;Seldyanaya;4;n3;0;0,00
24;7;1990;Seldyanaya;4;n3;1;0,02
30;7;1991;Seldyanaya;4;n3;5;1,83
29;7;1992;Seldyanaya;4;n3;3;1,10
1;8;1993;Seldyanaya;4;n3;3;0,90
9;8;1994;Seldyanaya;4;n3;0;0,00
4;8;1995;Seldyanaya;4;n3;0;0,00
29;7;1996;Seldyanaya;4;n3;3;0,85
23;7;1997;Seldyanaya;4;n3;5;0,15
3;8;1998;Seldyanaya;4;n3;0;0
15;8;1999;Seldyanaya;4;n3;NA;NA
6;8;2000;Seldyanaya;4;n3;3,275;1,51
