day;month;year;area;Nst;sample;N.sqmeter
5;8;2006;Medvezhya;5;n2;16,375
8;8;2007;Medvezhya;5;n2;25,8
14;8;2008;Medvezhya;5;n2;0
15;8;2009;Medvezhya;5;n2;22,525
2;8;2010;Medvezhya;5;n2;16,375
1;8;2011;Medvezhya;5;n2;13,1
4;8;2012;Medvezhya;5;n2;6,55
6;8;2013;Medvezhya;5;n2;3,275
23;7;1987;Medvezhya;6;n2;3
14;8;1988;Medvezhya;6;n2;2
26;7;1989;Medvezhya;6;n2;4
3;8;1990;Medvezhya;6;n2;4
31;7;1991;Medvezhya;6;n2;8
3;8;1992;Medvezhya;6;n2;1
16;8;1993;Medvezhya;6;n2;1
12;8;1994;Medvezhya;6;n2;9,55
9;8;1995;Medvezhya;6;n2;3
2;8;1996;Medvezhya;6;n2;14,55
24;7;1997;Medvezhya;6;n2;55,85
8;8;1998;Medvezhya;6;n2;16,7
16;8;1999;Medvezhya;6;n2;NA
24;7;2000;Medvezhya;6;n2;3,275
13;8;2001;Medvezhya;6;n2;3,275
11;8;2002;Medvezhya;6;n2;35,625
10;8;2003;Medvezhya;6;n2;86,825
14;8;2004;Medvezhya;6;n2;13,1
2;8;2005;Medvezhya;6;n2;63,5
5;8;2006;Medvezhya;6;n2;9,825
8;8;2007;Medvezhya;6;n2;19,65
14;8;2008;Medvezhya;6;n2;6,55
15;8;2009;Medvezhya;6;n2;61,425
2;8;2010;Medvezhya;6;n2;3,275
1;8;2011;Medvezhya;6;n2;6,55
4;8;2012;Medvezhya;6;n2;3,275
4;8;2013;Medvezhya;6;n2;15,975
26;7;1987;Medvezhya;7;n2;3
11;8;1988;Medvezhya;7;n2;4
29;7;1989;Medvezhya;7;n2;4
30;7;1990;Medvezhya;7;n2;4
1;8;1991;Medvezhya;7;n2;3
3;8;1992;Medvezhya;7;n2;9
14;8;1993;Medvezhya;7;n2;27
12;8;1994;Medvezhya;7;n2;9
9;8;1995;Medvezhya;7;n2;13
2;8;1996;Medvezhya;7;n2;12,55
24;7;1997;Medvezhya;7;n2;87,05
4;8;1998;Medvezhya;7;n2;167,95
16;8;1999;Medvezhya;7;n2;NA
24;7;2000;Medvezhya;7;n2;3,275
13;8;2001;Medvezhya;7;n2;19,65
11;8;2002;Medvezhya;7;n2;51,2
10;8;2003;Medvezhya;7;n2;54,475
14;8;2004;Medvezhya;7;n2;67,975
2;8;2005;Medvezhya;7;n2;19,65
5;8;2006;Medvezhya;7;n2;13,1
8;8;2007;Medvezhya;7;n2;19,65
14;8;2008;Medvezhya;7;n2;44,65
15;8;2009;Medvezhya;7;n2;79,875
2;8;2010;Medvezhya;7;n2;32,75
1;8;2011;Medvezhya;7;n2;22,925
4;8;2012;Medvezhya;7;n2;29,075
4;8;2013;Medvezhya;7;n2;19,25
30;7;1987;Medvezhya;8;n2;1
20;8;1988;Medvezhya;8;n2;1
31;7;1989;Medvezhya;8;n2;2
31;7;1990;Medvezhya;8;n2;1
1;8;1991;Medvezhya;8;n2;2
3;8;1992;Medvezhya;8;n2;4
14;8;1993;Medvezhya;8;n2;4
12;8;1994;Medvezhya;8;n2;3
9;8;1995;Medvezhya;8;n2;41,95
2;8;1996;Medvezhya;8;n2;16
24;7;1997;Medvezhya;8;n2;30,65
4;8;1998;Medvezhya;8;n2;443,2
16;8;1999;Medvezhya;8;n2;NA
24;7;2000;Medvezhya;8;n2;13,1
13;8;2001;Medvezhya;8;n2;67,975
11;8;2002;Medvezhya;8;n2;49,125
10;8;2003;Medvezhya;8;n2;48,725
14;8;2004;Medvezhya;8;n2;29,475
2;8;2005;Medvezhya;8;n2;32,35
5;8;2006;Medvezhya;8;n2;29,475
8;8;2007;Medvezhya;8;n2;6,55
14;8;2008;Medvezhya;8;n2;79,875
15;8;2009;Medvezhya;8;n2;129,8
2;8;2010;Medvezhya;8;n2;49,125
1;8;2011;Medvezhya;8;n2;88,425
4;8;2012;Medvezhya;8;n2;52,4
4;8;2013;Medvezhya;8;n2;87,625
15;7;1987;Seldyanaya;1;n3;3
4;8;1988;Seldyanaya;1;n3;0
21;7;1989;Seldyanaya;1;n3;2
21;7;1990;Seldyanaya;1;n3;8
27;7;1991;Seldyanaya;1;n3;3
22;7;1992;Seldyanaya;1;n3;16
24;7;1993;Seldyanaya;1;n3;50
9;8;1994;Seldyanaya;1;n3;0
4;8;1995;Seldyanaya;1;n3;0
27;7;1996;Seldyanaya;1;n3;15,55
20;7;1997;Seldyanaya;1;n3;24,1
25;7;1998;Seldyanaya;1;n3;22,1
15;8;1999;Seldyanaya;1;n3;NA
13;8;2000;Seldyanaya;1;n3;32,75
6;8;2001;Seldyanaya;1;n3;68,775
4;8;2002;Seldyanaya;1;n3;22,925
5;8;2003;Seldyanaya;1;n3;49,125
7;8;2004;Seldyanaya;1;n3;19,65
23;7;2005;Seldyanaya;1;n3;218,225
30;7;2006;Seldyanaya;1;n3;127,725
4;8;2007;Seldyanaya;1;n3;49,125
5;8;2008;Seldyanaya;1;n3;42,575
6;8;2009;Seldyanaya;1;n3;54,875
28;7;2010;Seldyanaya;1;n3;58,15
6;8;2011;Seldyanaya;1;n3;100,725
30;7;2012;Seldyanaya;1;n3;156,8
29;7;2013;Seldyanaya;1;n3;19,25
12;7;1987;Seldyanaya;2;n3;3
28;7;1988;Seldyanaya;2;n3;0
17;7;1989;Seldyanaya;2;n3;6
19;7;1990;Seldyanaya;2;n3;7
22;7;1991;Seldyanaya;2;n3;5
26;7;1992;Seldyanaya;2;n3;8
27;7;1993;Seldyanaya;2;n3;3
9;8;1994;Seldyanaya;2;n3;0
4;8;1995;Seldyanaya;2;n3;0
30;7;1996;Seldyanaya;2;n3;44,3
21;7;1997;Seldyanaya;2;n3;19,7
27;7;1998;Seldyanaya;2;n3;63,5
15;8;1999;Seldyanaya;2;n3;NA
6;8;2000;Seldyanaya;2;n3;9,825
6;8;2001;Seldyanaya;2;n3;26,2
4;8;2002;Seldyanaya;2;n3;58,55
5;8;2003;Seldyanaya;2;n3;31,95
7;8;2004;Seldyanaya;2;n3;32,75
23;7;2005;Seldyanaya;2;n3;91,7
30;7;2006;Seldyanaya;2;n3;163,75
4;8;2007;Seldyanaya;2;n3;278,375
5;8;2008;Seldyanaya;2;n3;52,4
6;8;2009;Seldyanaya;2;n3;0
28;7;2010;Seldyanaya;2;n3;36,025
6;8;2011;Seldyanaya;2;n3;22,925
30;7;2012;Seldyanaya;2;n3;0
29;7;2013;Seldyanaya;2;n3;25,4
18;7;1987;Seldyanaya;3;n3;5
1;8;1988;Seldyanaya;3;n3;1
14;7;1989;Seldyanaya;3;n3;1
20;7;1990;Seldyanaya;3;n3;11
25;7;1991;Seldyanaya;3;n3;13
